"Cr","Fe","Nb","Mo","Ti","Al"
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07,5.59E-07
