Cr,Fe,Nb,Mo,Ti,Al
0.00000038,0.00000038,0.00000038,0.00000038,0.00000038,0.00000038
0.00000038,0.00000038,0.00000038,0.00000038,0.00000038,0.00000038
0.00000038,0.00000038,0.00000038,0.00000038,0.00000038,0.00000038
0.00000038,0.00000038,0.00000038,0.00000038,0.00000038,0.00000038
0.00000038,0.00000038,0.00000038,0.00000038,0.00000038,0.00000038
0.00000038,0.00000038,0.00000038,0.00000038,0.00000038,0.00000038
0.00000038,0.00000038,0.00000038,0.00000038,0.00000038,0.00000038
0.00000038,0.00000038,0.00000038,0.00000038,0.00000038,0.00000038
0.00000038,0.00000038,0.00000038,0.00000038,0.00000038,0.00000038
0.00000038,0.00000038,0.00000038,0.00000038,0.00000038,0.00000038
